year,time_aggregation_value,census_tract,totalrequests
2016.0,4.0,003700,71.0
2016.0,4.0,003800,159.0
2016.0,4.0,003900,128.0
2016.0,4.0,004001,102.0
2016.0,4.0,004002,105.0
2016.0,4.0,004100,111.0
2016.0,4.0,004201,93.0
2016.0,4.0,004202,121.0
2016.0,4.0,004300,175.0
2016.0,4.0,004400,364.0
2016.0,4.0,004600,166.0
2016.0,4.0,004701,55.0
2016.0,4.0,004702,75.0
2016.0,4.0,004801,159.0
2016.0,4.0,004802,100.0
2016.0,4.0,004901,150.0
2016.0,4.0,004902,108.0
2016.0,4.0,005001,91.0
2016.0,4.0,005002,97.0
2016.0,4.0,005201,195.0
2016.0,4.0,005301,153.0
2016.0,4.0,005500,316.0
2016.0,4.0,005600,281.0
2016.0,4.0,005800,572.0
2016.0,4.0,005900,205.0
2016.0,4.0,006202,205.0
2016.0,4.0,006400,97.0
2016.0,4.0,006500,166.0
2016.0,4.0,006600,155.0
2016.0,4.0,006700,235.0
2016.0,4.0,006801,101.0
2016.0,4.0,006802,96.0
2016.0,4.0,006804,23.0
2016.0,4.0,006900,120.0
2016.0,4.0,007000,200.0
2016.0,4.0,007100,122.0
2016.0,4.0,007200,160.0
2016.0,4.0,007301,5.0
2016.0,4.0,007304,72.0
2016.0,4.0,007401,40.0
2016.0,4.0,007403,20.0
2016.0,4.0,007404,74.0
2016.0,4.0,007406,33.0
2016.0,4.0,007407,116.0
2016.0,4.0,007408,35.0
2016.0,4.0,007409,56.0
2016.0,4.0,007502,74.0
2016.0,4.0,007503,123.0
2016.0,4.0,007504,63.0
2016.0,4.0,007601,179.0
2016.0,4.0,007603,126.0
2016.0,4.0,007604,117.0
2016.0,4.0,007605,70.0
2016.0,4.0,007703,93.0
2016.0,4.0,007707,160.0
2016.0,4.0,007708,53.0
2016.0,4.0,007709,62.0
2016.0,4.0,007803,165.0
2016.0,4.0,007804,91.0
2016.0,4.0,007806,77.0
2016.0,4.0,007807,67.0
2016.0,4.0,007808,154.0
2016.0,4.0,007809,136.0
2016.0,4.0,007901,198.0
2016.0,4.0,007903,140.0
2016.0,4.0,008001,200.0
2016.0,4.0,008002,177.0
2016.0,4.0,008100,138.0
2016.0,4.0,008200,96.0
2016.0,4.0,008301,244.0
2016.0,4.0,008302,99.0
2016.0,4.0,008402,139.0
2016.0,4.0,008410,233.0
2016.0,4.0,008701,182.0
2016.0,4.0,008702,105.0
2016.0,4.0,008802,210.0
2016.0,4.0,008803,59.0
2016.0,4.0,008804,110.0
2016.0,4.0,008903,123.0
2016.0,4.0,008904,80.0
2016.0,4.0,009000,40.0
2016.0,4.0,009102,159.0
2016.0,4.0,009201,54.0
2016.0,4.0,009203,101.0
2016.0,4.0,009204,30.0
2016.0,4.0,009301,160.0
2016.0,4.0,009302,80.0
2016.0,4.0,009400,215.0
2016.0,4.0,009501,95.0
2016.0,4.0,009503,176.0
2016.0,4.0,009504,164.0
2016.0,4.0,009505,180.0
2016.0,4.0,009507,75.0
2016.0,4.0,009508,84.0
2016.0,4.0,009509,107.0
2016.0,4.0,009601,78.0
2016.0,4.0,009602,39.0
2016.0,4.0,009603,107.0
2016.0,4.0,009604,85.0
2016.0,4.0,009700,74.0
2016.0,4.0,009801,33.0
2016.0,4.0,009802,40.0
2016.0,4.0,009803,61.0
2016.0,4.0,009804,69.0
2016.0,4.0,009807,104.0
2016.0,4.0,009810,41.0
2016.0,4.0,009811,69.0
2016.0,4.0,009901,111.0
2016.0,4.0,009902,142.0
2016.0,4.0,009903,59.0
2016.0,4.0,009904,128.0
2016.0,4.0,009905,112.0
2016.0,4.0,009906,51.0
2016.0,4.0,009907,53.0
2016.0,4.0,010100,320.0
2016.0,4.0,010200,327.0
2016.0,4.0,010300,87.0
2016.0,4.0,010400,160.0
2016.0,4.0,010500,197.0
2016.0,4.0,010600,365.0
2016.0,4.0,010700,574.0
2016.0,4.0,010800,442.0
2016.0,4.0,010900,39.0
2016.0,4.0,011000,52.0
2016.0,4.0,011100,245.0
2016.0,5.0,000100,309.0
2016.0,5.0,000201,7.0
2016.0,5.0,000202,233.0
2016.0,5.0,000300,170.0
2016.0,5.0,000400,108.0
2016.0,5.0,000501,95.0
2016.0,5.0,000502,120.0
2016.0,5.0,000600,178.0
2016.0,5.0,000701,66.0
2016.0,5.0,000702,35.0
2016.0,5.0,000801,121.0
2016.0,5.0,000802,128.0
2016.0,5.0,000901,115.0
2016.0,5.0,000902,77.0
2016.0,5.0,001001,343.0
2016.0,5.0,001002,69.0
2016.0,5.0,001100,267.0
2016.0,5.0,001200,159.0
2016.0,5.0,001301,75.0
2016.0,5.0,001302,67.0
2016.0,5.0,001401,178.0
2016.0,5.0,001402,128.0
2016.0,5.0,001500,250.0
2016.0,5.0,001600,238.0
2016.0,5.0,001702,153.0
2016.0,5.0,001803,57.0
2016.0,5.0,001804,111.0
2016.0,5.0,001901,187.0
2016.0,5.0,001902,120.0
2016.0,5.0,002001,107.0
2016.0,5.0,002002,237.0
2016.0,5.0,002101,167.0
2016.0,5.0,002102,209.0
2016.0,5.0,002201,197.0
2016.0,5.0,002202,98.0
2016.0,5.0,002301,160.0
2016.0,5.0,002302,15.0
2016.0,5.0,002400,221.0
2016.0,5.0,002501,168.0
2016.0,5.0,002502,178.0
2016.0,5.0,002600,123.0
2016.0,5.0,002701,93.0
2016.0,5.0,002702,174.0
2016.0,5.0,002801,69.0
2016.0,5.0,002802,159.0
2016.0,5.0,002900,211.0
2016.0,5.0,003000,107.0
2016.0,5.0,003100,133.0
2016.0,5.0,003200,223.0
2016.0,5.0,003301,191.0
2016.0,5.0,003302,97.0
2016.0,5.0,003400,230.0
2016.0,5.0,003500,131.0
2016.0,5.0,003600,130.0
2016.0,5.0,003700,92.0
2016.0,5.0,003800,126.0
2016.0,5.0,003900,141.0
2016.0,5.0,004001,112.0
2016.0,5.0,004002,92.0
2016.0,5.0,004100,103.0
2016.0,5.0,004201,120.0
2016.0,5.0,004202,107.0
2016.0,5.0,004300,191.0
2016.0,5.0,004400,379.0
2016.0,5.0,004600,205.0
2016.0,5.0,004701,60.0
2016.0,5.0,004702,84.0
2016.0,5.0,004801,241.0
2016.0,5.0,004802,136.0
2016.0,5.0,004901,153.0
2016.0,5.0,004902,150.0
2016.0,5.0,005001,82.0
2016.0,5.0,005002,109.0
2016.0,5.0,005201,181.0
2016.0,5.0,005301,171.0
2016.0,5.0,005500,329.0
2016.0,5.0,005600,272.0
2016.0,5.0,005800,574.0
2016.0,5.0,005900,248.0
2016.0,5.0,006202,153.0
2016.0,5.0,006400,101.0
